name,latitude,longitude
Adunu,9.5,7.25
Anninigi,9.5,6.5
Babadudu,8.75,4.75
Bacita,9.0,4.75
Badegi,9.0,6.25
Baidna,9.25,6.75
Bakeko,9.0,6.25
Batagi,9.0,6.0
Batako,9.25,6.0
Batati,9.25,5.75
Birnin Maza,9.0,6.75
Bisanti,9.25,6.25
Bode Saadu,9.0,4.75
Bokani,9.5,5.25
Boku,9.0,6.5
Busu,9.0,6.0
Chimbi,9.5,7.0
Dassun,9.25,5.5
Dikko,9.25,7.25
Duma,8.75,6.75
Dzwafu,9.0,6.25
Edati Pata,9.25,5.75
Edokota,9.25,6.0
Edotsu,8.75,6.25
Edozhigi A,9.0,5.75
Edozhigi B,9.0,6.0
Egbako,9.25,5.75
Essa,9.0,6.25
Essan,9.5,6.75
Etsu Audu,9.25,6.0
Etsu Tasha A,9.0,5.75
Etsugai,9.25,6.25
Evuti Vatsa,8.5,6.75
Fazhi,9.25,5.75
Gana,9.25,6.5
Gawu,9.25,7.0
Gazhe One,9.0,5.75
Gazhe Two,9.0,5.75
Gbadafu,9.25,6.0
Gbakogi,9.0,6.25
Gbangba,9.5,6.0
Gbata,9.5,6.5
Gbugbu,8.75,5.25
Gidan Kwanu,9.5,6.5
Gogata,9.25,6.0
Gonagi,9.0,5.75
Gulu,8.75,6.5
Guzan,9.0,5.5
Ijagwari,9.25,7.25
Ishau,9.5,7.25
Izom,9.25,7.0
Jangaru,9.75,6.5
Jebba,9.0,4.75
Jedna,9.25,6.5
Jehunkunu,8.75,4.5
Jere,9.5,6.75
Jima,9.0,5.75
Kabo,9.5,7.25
Kakaki,9.5,6.75
Kampala,9.75,6.5
Kataeregi,9.25,6.25
Koro,9.5,7.0
Kpaki,9.25,5.25
Kpandaragi,8.75,5.0
Kudna,9.25,7.0
Kudu,9.25,5.25
Kusotachi,9.0,6.0
Kutiriko,9.25,6.5
Kwagana,9.5,7.0
Kwaka,9.25,7.25
Kwakuti,9.5,7.0
Labozhi,9.25,5.25
Lagun,9.5,5.5
Lambata,9.25,7.0
Lefu,9.25,6.75
Lemu,9.5,6.0
Magaji,9.0,6.25
Maikunkele,9.75,6.25
Maitumbi,9.75,6.75
Mangoro Hassan,9.75,6.25
Muwo,9.25,4.75
Nangau,9.5,6.25
Nuwankota,9.5,6.0
Oloru,8.75,4.5
Pangu,9.75,6.25
Pyatta,9.75,6.5
Rabba,9.25,5.0
Rokota,9.0,5.5
Sabon Dagah,9.5,6.5
Sakpe,9.0,5.75
Shao,8.5,4.5
Shatta,9.75,6.5
Shatta Sabo,9.75,6.5
Shipardna,9.75,6.5
Somazhiko,9.5,6.0
Sonfada,9.0,6.75
Tagagi,9.25,6.5
Takuti Shaba,9.25,6.5
Takuti Shaku,9.25,6.75
Tuna,9.25,6.75
Tunga Mallam,9.25,6.5
Tutungo,9.5,6.5
Zhimyi,9.75,6.5
Zuruh,9.5,6.75
Adogi,8.5,8.75
Adunu 2,9.5,7.25
Agwatashi,8.25,8.75
Agyaragu,8.5,8.5
Agyaragu Tofa,8.5,8.5
Akura,8.75,8.75
Alagye,8.25,8.25
Alapa,8.75,4.5
Alizaga,8.75,8.5
Alwaza,8.75,8.5
Andaha,9.0,8.5
Ankoro,9.0,4.75
Apado,8.75,4.75
Arikpa,8.75,8.5
Ashangwa,8.5,8.5
Ashige,8.5,8.75
Assakio,8.5,8.75
Barkin Abdullahi,8.5,8.25
Bisanti 2,9.25,6.25
Bokungi,8.75,5.0
Burum-Burum,8.5,8.25
Charati,9.5,5.5
Chengudu,9.25,5.75
Daddere,8.5,8.75
Ejidogari,9.0,4.75
Esanti,8.75,5.5
Essan B,9.5,6.75
Evunta,9.0,5.75
Garaku,8.75,8.25
Garam,9.25,7.25
Gbara,8.75,5.75
Gidan Ausa,8.5,8.5
Gitta,9.0,8.5
Gudi,9.0,8.25
Gurdi,8.75,6.75
Gwanje,9.0,8.25
Iponri,8.75,4.75
Iwashi,8.5,8.25
Keffin Wambai,8.5,8.25
Kokodo,8.75,5.5
Kurmin Tagwaye,9.0,8.5
Kwandare,8.5,8.5
Lanwa,8.75,4.75
Lenfa,9.0,5.75
Lizzin Ezzen,8.75,8.25
Mada Station,8.75,8.25
Mambe,8.75,6.0
Nakere,9.0,8.5
Ngbambula,9.0,8.5
Nunku,9.25,8.5
Pangu 2,9.75,6.25
Pangu 3,9.75,6.25
Patidzuru,8.75,5.0
Sabon Makera,9.5,5.25
Shabu,8.5,8.5
Takuti Abuja,9.25,6.5
Tsonga 1,9.25,5.0
Tsonga 2,9.0,5.0
Tudun Adabu,8.5,8.75
Tufa,9.25,7.0
Wakama,9.0,8.5
Wamba Kurmi,9.0,8.5
Yelwa,8.5,8.25
Yikpata,8.75,5.0
Zambufu,8.75,5.25
Zanchitagi,9.0,6.0
Zolegi,9.25,6.5
UREGI COOPERATIVE,9.75,6.25
BOBI COOPERATIVE,9.75,6.5
